"id","country_id:id","name","code"
state_in_1,base.in,"Kerala","KRL"
state_in_2,base.in,"TamilNadu","TML"
state_in_3,base.in,"Andra Pradesh","APD"
state_in_4,base.in,"Goa","GOA"
state_in_5,base.in,"Karnataka","KRK"
state_in_6,base.in,"Maharashtra","MHR"
state_in_7,base.in,"Madhya Pradesh","MHP"
state_in_8,base.in,"Gujarat","GJR"
state_in_9,base.in,"Rajasthan","RJT"
state_in_10,base.in,"Uttar Pradesh","UPH"
state_in_11,base.in,"Haryana","HRY"
state_in_12,base.in,"Punjab","PNJ"
state_in_13,base.in,"Himachal Pradesh","HMP"
state_in_14,base.in,"Jammu Kashmir","JKM"
state_in_15,base.in,"Orissa","ORS"
state_in_16,base.in,"West Bengal","WBL"
state_in_17,base.in,"Bihar","BHR"
state_in_18,base.in,"Sikkim","SKM"
state_in_19,base.in,"Mekhalaya","MHL"
state_in_20,base.in,"Tripura","TPA"
state_in_21,base.in,"Mizoram","MZR"
state_in_22,base.in,"Manipur","MNP"
state_in_23,base.in,"Arunachal Prasdesh","ARP"
state_in_24,base.in,"Assam","ASM"
state_in_25,base.in,"Nagaland","NGL"
state_in_26,base.in,"Uttaranchal","UTL"
state_in_27,base.in,"Chhattisgarh","CTR"
state_in_28,base.in,"Jharkhand","JKD"
